prob_num,prob_idx,trial,repeat,total_planning_time,success,num_llm_calls,num_mp_calls,timed_out,sim_success,error
6,1,1,1,674.090704202652,False,17,66,False,,
6,1,2,1,651.1002604961395,False,1,7,False,,
6,1,3,1,666.1974375247955,False,2,8,False,,
6,1,4,1,603.0990056991577,False,1,7,False,,
6,1,5,1,614.1076109409332,False,1,7,False,,
6,1,6,1,653.1114904880524,False,1,7,False,,
6,1,7,1,655.1024324893951,False,1,7,False,,
6,1,8,1,617.1014420986176,False,1,7,False,,
6,1,9,1,684.1168868541718,False,1,8,False,,
6,1,10,1,600.1171188354492,False,3,18,False,,
5,1,1,1,65.72735381126404,True,3,25,False,,
5,1,2,1,616.6928796768188,False,24,74,False,,
5,1,3,1,605.3923916816711,False,27,61,False,,
5,1,4,1,619.8924391269684,False,28,65,False,,
5,1,5,1,665.7232937812805,False,13,70,False,,
5,1,6,1,648.1066589355469,False,1,7,False,,
5,1,7,1,640.1166522502899,False,1,7,False,,
5,1,8,1,609.2246339321136,False,2,7,False,,
5,1,9,1,653.1229357719421,False,1,8,False,,
5,1,10,1,680.1190259456635,False,1,8,False,,
4,1,1,1,610.8531830310822,False,20,46,False,,
4,1,2,1,626.3318405151367,False,3,8,False,,
4,1,3,1,675.2008059024811,False,2,8,False,,
4,1,4,1,609.2047731876373,False,2,8,False,,
4,1,5,1,615.8144524097443,False,24,50,False,,
4,1,6,1,684.219780921936,False,2,8,False,,
4,1,7,1,610.2166657447815,False,2,8,False,,
4,1,8,1,640.2193858623505,False,2,9,False,,
4,1,9,1,689.118896484375,False,1,8,False,,
4,1,10,1,685.2311038970947,False,2,8,False,,
3,1,1,1,24.50195288658142,True,1,12,False,,
3,1,2,1,32.96459603309631,True,2,13,False,,
3,1,3,1,58.1820912361145,True,5,16,False,,
3,1,4,1,39.99373698234558,True,3,14,False,,
3,1,5,1,71.18144655227661,True,6,17,False,,
3,1,6,1,34.54575562477112,True,1,12,False,,
3,1,7,1,151.84395670890808,True,4,15,False,,
3,1,8,1,635.113698720932,False,1,8,False,,
3,1,9,1,276.7984175682068,True,2,13,False,,
3,1,10,1,74.91629910469055,True,7,18,False,,
